sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,PatientID_patientID,PatientID_patientnumber,MXD_1_b,MXD_1_w,MXD_2_b,MXD_2_w,MXD_3_b,MXD_3_w,MXD_4_b,MXD_4_w,MXD_5_b,MXD_5_w,MXD_6_b,MXD_6_w,MXD_7_b,MXD_7_w,MXD_8_b,MXD_8_w,MXD_9_b,MXD_9_w,MXD_10_b,MXD_10_w,MXD_11_b,MXD_11_w,MXD_12_b,MXD_12_w,sys_MXDVersion_MXD,sys_MXDDesignID_MXD,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17
10781,30 Jul 2018 - 05:03:27 EDT,30 Jul 2018 - 05:15:00 EDT,0h 11m 33s,0h 12m 5s,1532941407,1532942100,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,sedk,152,12,5,6,13,16,4,16,5,12,13,9,8,1,5,16,10,6,13,11,10,6,2,14,4,281,MXD1_1528457107_3,19,58,21,49,95,37,36,28,37,34,15,70,88,20,33,39,33
10782,31 Jul 2018 - 02:17:42 EDT,31 Jul 2018 - 02:29:27 EDT,0h 11m 45s,0h 11m 43s,1533017862,1533018567,2,2,,MXD_5,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,masb,153,16,9,1,10,7,4,3,11,,,,,,,,,,,,,,,,,282,MXD1_1528457107_3,13,55,26,27,103,213,222,57,,,,,,,,,
10783,31 Jul 2018 - 02:31:41 EDT,31 Jul 2018 - 02:48:09 EDT,0h 16m 28s,0h 16m 28s,1533018701,1533019689,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,masb,154,1,8,16,6,5,11,10,3,16,3,1,7,4,5,1,13,7,13,5,3,11,13,16,12,283,MXD1_1528457107_3,10,1,2,1,86,89,70,80,58,116,2,140,87,55,39,54,108
10784,31 Jul 2018 - 03:00:27 EDT,31 Jul 2018 - 03:10:02 EDT,0h 9m 35s,0h 9m 32s,1533020427,1533021002,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,pulm,156,1,6,7,16,5,9,11,14,5,8,3,4,7,4,11,6,5,2,10,16,3,8,14,6,284,MXD1_1528457107_3,51,40,21,23,99,51,45,39,26,30,7,22,23,33,42,35,36
10785,31 Jul 2018 - 03:38:55 EDT,31 Jul 2018 - 03:46:36 EDT,0h 7m 41s,0h 7m 37s,1533022735,1533023196,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,teng,157,14,8,3,6,1,4,5,4,1,2,3,13,7,5,1,10,13,2,11,6,12,6,3,8,285,MXD1_1528457107_3,60,24,13,15,52,28,24,34,23,21,13,35,27,35,40,23,50
10786,31 Jul 2018 - 04:49:23 EDT,31 Jul 2018 - 05:05:46 EDT,0h 16m 23s,0h 16m 21s,1533026963,1533027946,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,kefr,158,10,4,3,6,14,5,5,4,1,2,16,2,7,9,14,2,7,9,7,4,15,10,3,11,286,MXD1_1528457107_3,15,43,24,28,132,70,151,58,101,69,2,48,55,30,21,42,107
10787,31 Jul 2018 - 05:18:54 EDT,31 Jul 2018 - 05:46:04 EDT,0h 27m 10s,0h 27m 7s,1533028734,1533030364,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,maso,159,1,10,10,5,3,2,1,5,5,15,11,7,13,14,6,4,6,15,1,13,6,2,3,2,287,MXD1_1528457107_3,46,40,24,30,194,158,155,422,100,121,6,87,64,51,111,26,38
10788,01 Aug 2018 - 03:05:17 EDT,01 Aug 2018 - 03:19:59 EDT,0h 14m 42s,0h 14m 41s,1533107117,1533107999,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,kagn,319,1,6,2,4,1,11,14,9,3,11,10,15,1,14,15,2,5,6,3,12,14,4,3,10,288,MXD1_1528457107_3,19,47,22,28,129,119,29,127,38,47,14,25,73,85,45,18,35
10789,01 Aug 2018 - 04:09:21 EDT,01 Aug 2018 - 04:25:33 EDT,0h 16m 12s,0h 16m 11s,1533110961,1533111933,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,mogm,320,5,2,16,9,16,7,10,12,9,10,1,3,7,5,2,16,12,14,4,14,10,14,12,6,289,MXD1_1528457107_3,23,78,41,55,174,95,57,90,69,36,13,47,32,48,42,38,56
10790,01 Aug 2018 - 05:05:23 EDT,01 Aug 2018 - 05:21:31 EDT,0h 16m 8s,0h 15m 57s,1533114323,1533115291,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,moke,321,1,6,3,6,16,5,3,7,16,2,16,5,2,7,7,5,2,9,9,1,9,13,12,13,290,MXD1_1528457107_3,39,60,37,50,153,82,166,60,73,67,3,22,51,28,31,49,25
10791,01 Aug 2018 - 05:35:07 EDT,01 Aug 2018 - 05:49:09 EDT,0h 14m 2s,0h 14m 0s,1533116107,1533116949,2,5,,Terminate,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",Windows 10.0,Chrome 57.0.2987.133,127.0.0.1,1351,5d24abd8-2e75-45b2-9e2f-83642bde07b2,puog,322,12,13,1,11,3,1,3,10,14,11,2,5,15,7,1,7,2,14,7,10,16,9,15,16,291,MXD1_1528457107_3,24,94,58,51,133,43,28,39,32,25,5,30,32,91,49,44,86
